# name,industry,website,description  — synthetic company pool for generate_activity.py
Zenith Circuits Manufacturing,Electronics,https://zenith-circuits-apac.com,Advanced semiconductor design and fabrication hub
Meridian Harvest Solutions,Agriculture,https://meridian-harvest.jp,Precision agriculture technology and crop optimization
Quantum Bridge Consulting,Consulting,https://quantum-bridge-sg.io,Digital transformation and enterprise modernization advisory
Phoenix Medical Innovations,Healthcare,https://phoenix-medical.com.au,Biomedical device research and clinical testing
Titan Industrial Systems,Manufacturing,https://titan-industrial-apac.com,Heavy machinery and precision engineering solutions
Aurora Financial Group,Finance,https://aurora-financial-sg.com,Investment management and wealth advisory services
Nexus Energy Solutions,Energy,https://nexus-energy.in,Renewable energy infrastructure and grid optimization
Cornerstone Education Ventures,Education,https://cornerstone-edu-asia.io,Online learning platforms and skill development
Velocity Logistics Networks,Transportation,https://velocity-logistics-apac.com,Supply chain optimization and last-mile delivery
Harmony Biotech Research,Biotechnology,https://harmony-biotech.jp,Pharmaceutical compound research and development
Stellar Communications,Telecommunications,https://stellar-comms-asia.com,Network infrastructure and broadband services
Ember Construction Group,Construction,https://ember-construction-apac.io,Commercial real estate development and project management
Vertex Analytics Intelligence,Technology,https://vertex-analytics.sg,Data science and business intelligence solutions
Pinnacle Insurance Partners,Insurance,https://pinnacle-insurance-apac.com,Risk management and policy underwriting services
Catalyst Media Productions,Media,https://catalyst-media-asia.jp,Digital content creation and entertainment
Riviera Hospitality Ventures,Hospitality,https://riviera-hospitality.com.au,Boutique hotel chains and resort management
Paramount Engineering Services,Engineering,https://paramount-engineering-apac.io,Infrastructure design and structural consulting
Silverline Retail Ventures,Retail,https://silverline-retail-asia.com,Omnichannel retail and e-commerce platform
Velocity Chemical Industries,Chemicals,https://velocity-chemicals.in,Specialty chemical manufacturing and distribution
Horizon Banking Solutions,Banking,https://horizon-banking-apac.sg,Digital banking and fintech services
Beacon Manufacturing Corp,Manufacturing,https://beacon-mfg-apac.jp,Consumer electronics and appliance production
Spectrum Communications Tech,Communications,https://spectrum-comms.com,Unified communications and collaboration tools
Prism Healthcare Systems,Healthcare,https://prism-health-asia.io,Hospital networks and patient care management
Fortress Security Solutions,Technology,https://fortress-security-apac.com,Cybersecurity and threat intelligence platforms
Momentum Entertainment Group,Entertainment,https://momentum-entertainment.com.au,Live events and digital streaming services
Catalyst Utilities Management,Utilities,https://catalyst-utilities-apac.in,Power distribution and infrastructure management
Synergy Software Solutions,Technology,https://synergy-software-apac.io,Enterprise software and cloud platforms
Landmark Construction Partners,Construction,https://landmark-construction-asia.sg,Infrastructure projects and urban development
Valor Financial Services,Finance,https://valor-financial.jp,Corporate finance and investment banking
Velocity Manufacturing Ltd,Manufacturing,https://velocity-mfg.com,Precision components and industrial parts
Solstice Energy Group,Energy,https://solstice-energy-apac.com.au,Oil and gas exploration and production
Apex Consulting Partners,Consulting,https://apex-consulting-apac.io,Management consulting and business strategy
